"GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","Category"
"GO:0006099",0.0138840817929753,14.1358024691358,0.187393526405451,"2","8","Tricarboxylic Acid Cycle","lower"
NA,NA,NA,NA,"","","Tricarboxylic Acid Cycle","outliers"
NA,NA,NA,NA,"","","Tricarboxylic Acid Cycle","upper"
"GO:0010970",0.023424190800681,Inf,0.0234241908006814,"1","1","Transport Along Microtubule","lower"
NA,NA,NA,NA,"","","Transport Along Microtubule","outliers"
NA,NA,NA,NA,"","","Transport Along Microtubule","upper"
"GO:0006413",0.0073153377071529,8.79615384615385,0.410136286201022,"3","18","Translational Initiation","upper"
"GO:0006413",0.0010516362609993,8.10232220609579,0.831771720613288,"5","18","Translational Initiation","outliers"
NA,NA,NA,NA,"","","Translational Initiation","lower"
"GO:0048863",0.023424190800681,Inf,0.0234241908006814,"1","1","Stem Cell Differentiation","lower"
NA,NA,NA,NA,"","","Stem Cell Differentiation","outliers"
NA,NA,NA,NA,"","","Stem Cell Differentiation","upper"
"GO:0048864",0.023424190800681,Inf,0.0234241908006814,"1","1","Stem Cell Development","lower"
NA,NA,NA,NA,"","","Stem Cell Development","outliers"
NA,NA,NA,NA,"","","Stem Cell Development","upper"
"GO:0006614",0.016679867622858,12.4680272108844,0.205068143100511,"2","9","Srp-dependent Cotranslational Protein Targeting to Membrane","upper"
"GO:0006614",0.00664599264668795,10.4509345794393,0.415885860306644,"3","9","Srp-dependent Cotranslational Protein Targeting to Membrane","outliers"
NA,NA,NA,NA,"","","Srp-dependent Cotranslational Protein Targeting to Membrane","lower"
"GO:0042770",0.00491795350722857,29.1174603174603,0.113926746166951,"2","5","Signal Transduction in Response to Dna Damage","upper"
"GO:0042770",0.0193776490085489,13.8790697674419,0.231047700170358,"2","5","Signal Transduction in Response to Dna Damage","outliers"
NA,NA,NA,NA,"","","Signal Transduction in Response to Dna Damage","lower"
"GO:0006364",0.022754120729359,4.1868544600939,1.10902896081772,"4","24","Rrna Processing","outliers"
NA,NA,NA,NA,"","","Rrna Processing","lower"
NA,NA,NA,NA,"","","Rrna Processing","upper"
"GO:0016072",0.022754120729359,4.1868544600939,1.10902896081772,"4","24","Rrna Metabolic Process","outliers"
NA,NA,NA,NA,"","","Rrna Metabolic Process","lower"
NA,NA,NA,NA,"","","Rrna Metabolic Process","upper"
"GO:0071025",0.023424190800681,Inf,0.0234241908006814,"1","1","Rna Surveillance","lower"
NA,NA,NA,NA,"","","Rna Surveillance","outliers"
NA,NA,NA,NA,"","","Rna Surveillance","upper"
"GO:0110154",0.0227853492333907,Inf,0.0227853492333901,"1","1","Rna Decapping","upper"
NA,NA,NA,NA,"","","Rna Decapping","lower"
NA,NA,NA,NA,"","","Rna Decapping","outliers"
"GO:0009615",0.0227853492333907,Inf,0.0227853492333901,"1","1","Response to Virus","upper"
NA,NA,NA,NA,"","","Response to Virus","lower"
NA,NA,NA,NA,"","","Response to Virus","outliers"
"GO:0019236",0.023424190800681,Inf,0.0234241908006814,"1","1","Response to Pheromone","lower"
NA,NA,NA,NA,"","","Response to Pheromone","outliers"
NA,NA,NA,NA,"","","Response to Pheromone","upper"
"GO:0007585",0.023424190800681,Inf,0.0234241908006814,"1","1","Respiratory Gaseous Exchange By Respiratory System","lower"
NA,NA,NA,NA,"","","Respiratory Gaseous Exchange By Respiratory System","outliers"
NA,NA,NA,NA,"","","Respiratory Gaseous Exchange By Respiratory System","upper"
"GO:0061041",0.00618305336011174,41.6558139534884,0.138628620102215,"2","3","Regulation of Wound Healing","outliers"
NA,NA,NA,NA,"","","Regulation of Wound Healing","lower"
NA,NA,NA,NA,"","","Regulation of Wound Healing","upper"
"GO:0043558",0.0227853492333907,Inf,0.0227853492333901,"1","1","Regulation of Translational Initiation in Response to Stress","upper"
NA,NA,NA,NA,"","","Regulation of Translational Initiation in Response to Stress","lower"
NA,NA,NA,NA,"","","Regulation of Translational Initiation in Response to Stress","outliers"
"GO:0010998",0.0227853492333907,Inf,0.0227853492333901,"1","1","Regulation of Translational Initiation By Eif2 Alpha Phosphorylation","upper"
NA,NA,NA,NA,"","","Regulation of Translational Initiation By Eif2 Alpha Phosphorylation","lower"
NA,NA,NA,NA,"","","Regulation of Translational Initiation By Eif2 Alpha Phosphorylation","outliers"
"GO:0006446",0.00152027429682523,87.3904761904762,0.0683560477001704,"2","3","Regulation of Translational Initiation","upper"
"GO:0006446",0.00618305336011174,41.6558139534884,0.138628620102215,"2","3","Regulation of Translational Initiation","outliers"
NA,NA,NA,NA,"","","Regulation of Translational Initiation","lower"
"GO:0043555",0.0227853492333907,Inf,0.0227853492333901,"1","1","Regulation of Translation in Response to Stress","upper"
NA,NA,NA,NA,"","","Regulation of Translation in Response to Stress","lower"
NA,NA,NA,NA,"","","Regulation of Translation in Response to Stress","outliers"
"GO:0006417",0.0100238230748182,17.4628571428571,0.159497444633731,"2","7","Regulation of Translation","upper"
"GO:0006417",0.0382780139780647,8.32372093023256,0.323466780238501,"2","7","Regulation of Translation","outliers"
NA,NA,NA,NA,"","","Regulation of Translation","lower"
"GO:1903034",0.00618305336011174,41.6558139534884,0.138628620102215,"2","3","Regulation of Response to Wounding","outliers"
NA,NA,NA,NA,"","","Regulation of Response to Wounding","lower"
NA,NA,NA,NA,"","","Regulation of Response to Wounding","upper"
"GO:0032101",0.0281890517627267,10.406976744186,0.277257240204429,"2","6","Regulation of Response to External Stimulus","outliers"
NA,NA,NA,NA,"","","Regulation of Response to External Stimulus","lower"
NA,NA,NA,NA,"","","Regulation of Response to External Stimulus","upper"
"GO:0010835",0.0227853492333907,Inf,0.0227853492333901,"1","1","Regulation of Protein Adp-ribosylation","upper"
NA,NA,NA,NA,"","","Regulation of Protein Adp-ribosylation","lower"
NA,NA,NA,NA,"","","Regulation of Protein Adp-ribosylation","outliers"
